step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
1	0.000000E+00	1.000000E-01	1.000000E-04	3.000000E+01	3.000000E+01	2.231949E+21	6.696100E+21	3.000000E+00	3.218500E+11	1.072793E+11	4.291293E+11	3.218500E-04	1.072793E-04	4.291293E-04	4.827751E+12	1.609189E+12	6.436940E+12	9.831200E-02
2	1.000000E-12	9.999518E-02	1.000000E-04	3.003500E+01	3.003500E+01	2.231841E+21	1.033000E+22	4.628200E+00	4.970938E+11	1.073993E+11	6.044931E+11	4.970938E-04	1.073993E-04	6.044931E-04	7.456767E+12	1.611067E+12	9.067833E+12	3.083900E+00
3	2.000000E-12	9.998540E-02	1.000000E-04	3.007000E+01	3.007000E+01	2.231623E+21	1.075800E+22	4.820600E+00	5.182930E+11	1.075139E+11	6.258069E+11	5.182930E-04	1.075139E-04	6.258069E-04	7.775531E+12	1.612944E+12	9.388474E+12	5.524800E-01
4	3.000000E-12	9.997208E-02	1.000000E-04	3.010500E+01	3.010500E+01	2.231325E+21	1.078300E+22	4.832500E+00	5.201021E+11	1.076247E+11	6.277268E+11	5.201021E-04	1.076247E-04	6.277268E-04	7.803711E+12	1.614821E+12	9.418532E+12	5.507900E-01
5	4.000000E-12	9.995576E-02	1.000000E-04	3.014000E+01	3.014000E+01	2.230961E+21	1.079100E+22	4.836600E+00	5.210931E+11	1.077322E+11	6.288253E+11	5.210931E-04	1.077322E-04	6.288253E-04	7.819856E+12	1.616699E+12	9.436555E+12	5.532400E-01
6	5.000000E-12	9.993678E-02	1.000000E-04	3.017500E+01	3.017500E+01	2.230538E+21	1.079700E+22	4.840400E+00	5.219883E+11	1.078369E+11	6.298252E+11	5.219883E-04	1.078369E-04	6.298252E-04	7.834778E+12	1.618576E+12	9.453354E+12	5.554400E-01
7	6.000000E-12	9.991538E-02	1.000000E-04	3.021000E+01	3.021000E+01	2.230060E+21	1.080300E+22	4.844200E+00	5.228842E+11	1.079388E+11	6.308230E+11	5.228842E-04	1.079388E-04	6.308230E-04	7.849905E+12	1.620453E+12	9.470359E+12	5.576100E-01
8	7.000000E-12	9.989172E-02	1.000000E-04	3.024500E+01	3.024500E+01	2.229532E+21	1.080900E+22	4.848000E+00	5.237807E+11	1.080383E+11	6.318190E+11	5.237807E-04	1.080383E-04	6.318190E-04	7.865227E+12	1.622331E+12	9.487558E+12	5.597800E-01
9	8.000000E-12	9.986595E-02	1.000000E-04	3.028000E+01	3.028000E+01	2.228957E+21	1.081500E+22	4.851800E+00	5.246779E+11	1.081354E+11	6.328133E+11	5.246779E-04	1.081354E-04	6.328133E-04	7.880733E+12	1.624208E+12	9.504941E+12	5.619400E-01
10	9.000000E-12	9.983817E-02	1.000000E-04	3.031500E+01	3.031500E+01	2.228337E+21	1.082000E+22	4.855700E+00	5.255272E+11	1.082303E+11	6.337575E+11	5.255272E-04	1.082303E-04	6.337575E-04	7.895686E+12	1.626086E+12	9.521772E+12	5.640900E-01
11	1.000000E-11	9.980848E-02	1.000000E-04	3.035000E+01	3.035000E+01	2.227674E+21	1.082600E+22	4.859500E+00	5.264257E+11	1.083230E+11	6.347487E+11	5.264257E-04	1.083230E-04	6.347487E-04	7.911538E+12	1.627963E+12	9.539501E+12	5.662300E-01
12	7.633300E-11	9.516655E-02	1.000000E-04	3.267200E+01	3.267200E+01	2.124068E+21	1.088500E+22	5.124400E+00	5.697896E+11	1.111872E+11	6.809768E+11	5.697896E-04	1.111872E-04	6.809768E-04	8.980934E+12	1.752514E+12	1.073345E+13	7.060600E-01
