step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
1	0.000000E+00	1.000000E-01	1.000000E-04	3.000000E+01	3.000000E+01	2.231949E+21	6.696100E+21	3.000000E+00	3.218500E+11	1.072793E+11	4.291293E+11	3.218500E-04	1.072793E-04	4.291293E-04	4.827751E+12	1.609189E+12	6.436940E+12	9.831200E-02
2	1.000000E-12	9.954054E-02	1.000000E-04	3.003500E+01	3.003500E+01	2.221694E+21	1.029000E+22	4.631300E+00	4.951690E+11	1.069110E+11	6.020799E+11	4.951690E-04	1.069110E-04	6.020799E-04	7.461818E+12	1.611067E+12	9.072885E+12	3.068300E+00
3	2.000000E-12	9.908319E-02	1.000000E-04	3.007000E+01	3.007000E+01	2.211486E+21	1.067200E+22	4.825600E+00	5.141498E+11	1.065438E+11	6.206935E+11	5.141498E-04	1.065438E-04	6.206935E-04	7.783607E+12	1.612944E+12	9.396551E+12	5.456900E-01
4	3.000000E-12	9.862795E-02	1.000000E-04	3.010500E+01	3.010500E+01	2.201325E+21	1.065400E+22	4.839700E+00	5.138800E+11	1.061777E+11	6.200577E+11	5.138800E-04	1.061777E-04	6.200577E-04	7.815432E+12	1.614821E+12	9.430253E+12	5.409800E-01
5	4.000000E-12	9.817479E-02	1.000000E-04	3.014000E+01	3.014000E+01	2.191211E+21	1.061900E+22	4.846000E+00	5.127873E+11	1.058127E+11	6.186000E+11	5.127873E-04	1.058127E-04	6.186000E-04	7.834811E+12	1.616699E+12	9.451510E+12	5.403900E-01
6	5.000000E-12	9.772372E-02	1.000000E-04	3.017500E+01	3.017500E+01	2.181143E+21	1.058300E+22	4.852000E+00	5.116423E+11	1.054489E+11	6.170912E+11	5.116423E-04	1.054489E-04	6.170912E-04	7.853400E+12	1.618576E+12	9.471976E+12	5.395600E-01
7	6.000000E-12	9.727472E-02	1.000000E-04	3.021000E+01	3.021000E+01	2.171122E+21	1.054800E+22	4.858000E+00	5.105417E+11	1.050861E+11	6.156278E+11	5.105417E-04	1.050861E-04	6.156278E-04	7.872678E+12	1.620453E+12	9.493132E+12	5.387200E-01
8	7.000000E-12	9.682779E-02	1.000000E-04	3.024500E+01	3.024500E+01	2.161147E+21	1.051200E+22	4.864000E+00	5.093887E+11	1.047245E+11	6.141132E+11	5.093887E-04	1.047245E-04	6.141132E-04	7.891155E+12	1.622331E+12	9.513486E+12	5.378800E-01
9	8.000000E-12	9.638290E-02	1.000000E-04	3.028000E+01	3.028000E+01	2.151217E+21	1.047700E+22	4.870000E+00	5.082802E+11	1.043639E+11	6.126442E+11	5.082802E-04	1.043639E-04	6.126442E-04	7.910328E+12	1.624208E+12	9.534536E+12	5.370500E-01
10	9.000000E-12	9.594006E-02	1.000000E-04	3.031500E+01	3.031500E+01	2.141333E+21	1.044200E+22	4.876000E+00	5.071678E+11	1.040045E+11	6.111723E+11	5.071678E-04	1.040045E-04	6.111723E-04	7.929448E+12	1.626086E+12	9.555533E+12	5.362300E-01
11	1.000000E-11	9.549926E-02	1.000000E-04	3.035000E+01	3.035000E+01	2.131494E+21	1.040600E+22	4.882000E+00	5.060028E+11	1.036462E+11	6.096490E+11	5.060028E-04	1.036462E-04	6.096490E-04	7.947749E+12	1.627963E+12	9.575712E+12	5.354100E-01
12	7.633300E-11	7.036122E-02	1.000000E-04	3.267200E+01	3.267200E+01	1.570426E+21	8.355500E+21	5.320300E+00	4.373796E+11	8.220603E+10	5.195857E+11	4.373796E-04	8.220603E-05	5.195857E-04	9.324305E+12	1.752514E+12	1.107682E+13	4.724700E-01
13	1.426700E-10	5.184020E-02	1.000000E-04	3.499300E+01	3.499300E+01	1.157047E+21	6.632000E+21	5.731600E+00	3.718229E+11	6.486978E+10	4.366926E+11	3.718229E-04	6.486978E-05	4.366926E-04	1.075872E+13	1.877012E+12	1.263573E+13	4.377100E-01
14	2.090000E-10	3.819443E-02	1.000000E-04	3.731500E+01	3.731500E+01	8.524801E+20	5.250100E+21	6.158300E+00	3.138784E+11	5.096571E+10	3.648441E+11	3.138784E-04	5.096571E-05	3.648441E-04	1.232687E+13	2.001563E+12	1.432843E+13	3.969100E-01
15	2.753300E-10	2.814060E-02	1.000000E-04	3.963700E+01	3.963700E+01	6.280837E+20	4.146400E+21	6.601300E+00	2.633191E+11	3.988676E+10	3.032059E+11	2.633191E-04	3.988676E-05	3.032059E-04	1.403590E+13	2.126114E+12	1.616201E+13	3.530500E-01
16	3.416700E-10	2.073322E-02	1.000000E-04	4.195800E+01	4.195800E+01	4.627548E+20	3.260500E+21	7.045500E+00	2.191843E+11	3.110829E+10	2.502926E+11	2.191843E-04	3.110829E-05	2.502926E-04	1.585747E+13	2.250612E+12	1.810808E+13	3.105400E-01
17	4.080000E-10	1.527566E-02	1.000000E-04	4.428000E+01	4.428000E+01	3.409449E+20	2.550500E+21	7.480300E+00	1.809436E+11	2.418812E+10	2.051318E+11	1.809436E-04	2.418812E-05	2.051318E-04	1.776784E+13	2.375163E+12	2.014300E+13	2.666400E-01
18	4.743300E-10	1.125468E-02	1.000000E-04	4.660200E+01	4.660200E+01	2.511987E+20	1.982600E+21	7.892200E+00	1.480301E+11	1.875566E+10	1.667858E+11	1.480301E-04	1.875566E-05	1.667858E-04	1.972914E+13	2.499714E+12	2.222885E+13	2.234000E-01
19	5.406700E-10	8.292141E-03	1.000000E-04	4.892300E+01	4.892300E+01	1.850763E+20	1.530300E+21	8.268400E+00	1.199499E+11	1.450689E+10	1.344568E+11	1.199499E-04	1.450689E-05	1.344568E-04	2.169825E+13	2.624212E+12	2.432246E+13	1.835700E-01
20	6.070000E-10	6.109420E-03	1.000000E-04	5.124500E+01	5.124500E+01	1.363591E+20	1.172800E+21	8.600300E+00	9.629103E+10	1.119557E+10	1.074866E+11	9.629103E-05	1.119557E-05	1.074866E-04	2.364161E+13	2.748763E+12	2.639038E+13	1.484100E-01
21	6.733300E-10	4.501252E-03	1.000000E-04	5.356700E+01	5.356700E+01	1.004656E+20	8.927300E+20	8.885600E+00	7.661748E+10	8.622342E+09	8.523982E+10	7.661748E-05	8.622342E-06	8.523982E-05	2.553206E+13	2.873315E+12	2.840537E+13	1.190700E-01
22	7.396700E-10	3.316398E-03	1.000000E-04	5.588800E+01	5.588800E+01	7.402030E+19	6.754300E+20	9.124500E+00	6.047966E+10	6.627959E+09	6.710761E+10	6.047966E-05	6.627959E-06	6.710761E-05	2.735482E+13	2.997812E+12	3.035264E+13	9.536700E-02
23	8.060000E-10	2.443431E-03	1.000000E-04	5.821000E+01	5.821000E+01	5.453612E+19	5.081800E+20	9.317800E+00	4.739424E+10	5.086186E+09	5.248043E+10	4.739424E-05	5.086186E-06	5.248043E-05	2.909489E+13	3.122363E+12	3.221725E+13	7.596100E-02
24	8.723300E-10	1.800252E-03	1.000000E-04	6.053200E+01	6.053200E+01	4.018070E+19	3.803600E+20	9.465900E+00	3.688844E+10	3.896843E+09	4.078528E+10	3.688844E-05	3.896843E-06	4.078528E-05	3.073606E+13	3.246915E+12	3.398298E+13	5.971200E-02
25	9.386700E-10	1.326376E-03	1.000000E-04	6.285300E+01	6.285300E+01	2.960403E+19	2.834000E+20	9.572700E+00	2.853884E+10	2.981174E+09	3.152001E+10	2.853884E-05	2.981174E-06	3.152001E-05	3.227460E+13	3.371412E+12	3.564601E+13	4.555800E-02
26	1.005000E-09	9.772372E-04	1.000000E-04	6.517500E+01	6.517500E+01	2.181143E+19	2.103800E+20	9.645000E+00	2.196827E+10	2.277590E+09	2.424586E+10	2.196827E-05	2.277590E-06	2.424586E-05	3.371997E+13	3.495963E+12	3.721593E+13	3.329800E-02
27	1.071300E-09	7.200014E-04	1.000000E-04	6.749700E+01	6.749700E+01	1.607006E+19	1.557300E+20	9.690300E+00	1.684097E+10	1.737850E+09	1.857882E+10	1.684097E-05	1.737850E-06	1.857882E-05	3.508529E+13	3.620515E+12	3.870580E+13	2.331700E-02
