step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
1	0.000000E+00	1.000000E-01	1.000000E-04	3.000000E+01	3.000000E+01	2.231949E+21	6.696100E+21	3.000000E+00	3.218500E+11	1.072793E+11	4.291293E+11	3.218500E-04	1.072793E-04	4.291293E-04	4.827751E+12	1.609189E+12	6.436940E+12	9.831200E-02
2	1.000000E-12	9.954054E-02	1.000000E-04	3.073200E+01	3.073200E+01	2.221694E+21	1.044300E+22	4.700400E+00	5.141934E+11	1.093920E+11	6.235854E+11	5.141934E-04	1.093920E-04	6.235854E-04	7.748502E+12	1.648453E+12	9.396956E+12	3.307800E+00
3	2.000000E-12	9.908319E-02	1.000000E-04	3.110900E+01	3.110900E+01	2.211486E+21	1.090100E+22	4.929200E+00	5.433289E+11	1.102251E+11	6.535540E+11	5.433289E-04	1.102251E-04	6.535540E-04	8.225344E+12	1.668676E+12	9.894019E+12	6.146400E-01
4	3.000000E-12	9.862795E-02	1.000000E-04	3.141500E+01	3.141500E+01	2.201325E+21	1.094600E+22	4.972200E+00	5.509382E+11	1.107979E+11	6.617362E+11	5.509382E-04	1.107979E-04	6.617362E-04	8.379038E+12	1.685089E+12	1.006413E+13	6.291100E-01
5	4.000000E-12	9.817479E-02	1.000000E-04	3.168200E+01	3.168200E+01	2.191211E+21	1.096300E+22	5.003100E+00	5.564836E+11	1.112262E+11	6.677099E+11	5.564836E-04	1.112262E-04	6.677099E-04	8.502442E+12	1.699411E+12	1.020185E+13	6.459100E-01
6	5.000000E-12	9.772372E-02	1.000000E-04	3.192200E+01	3.192200E+01	2.181143E+21	1.097300E+22	5.030700E+00	5.612106E+11	1.115539E+11	6.727645E+11	5.612106E-04	1.115539E-04	6.727645E-04	8.614243E+12	1.712285E+12	1.032653E+13	6.607300E-01
7	6.000000E-12	9.727472E-02	1.000000E-04	3.214500E+01	3.214500E+01	2.171122E+21	1.097800E+22	5.056100E+00	5.653886E+11	1.118170E+11	6.772056E+11	5.653886E-04	1.118170E-04	6.772056E-04	8.718431E+12	1.724246E+12	1.044268E+13	6.743000E-01
8	7.000000E-12	9.682779E-02	1.000000E-04	3.235300E+01	3.235300E+01	2.161147E+21	1.097900E+22	5.080000E+00	5.690989E+11	1.120235E+11	6.811224E+11	5.690989E-04	1.120235E-04	6.811224E-04	8.816150E+12	1.735403E+12	1.055155E+13	6.869100E-01
9	8.000000E-12	9.638290E-02	1.000000E-04	3.254900E+01	3.254900E+01	2.151217E+21	1.097700E+22	5.102600E+00	5.724423E+11	1.121843E+11	6.846266E+11	5.724423E-04	1.121843E-04	6.846266E-04	8.908877E+12	1.745917E+12	1.065479E+13	6.987600E-01
10	9.000000E-12	9.594006E-02	1.000000E-04	3.273500E+01	3.273500E+01	2.141333E+21	1.097300E+22	5.124200E+00	5.755037E+11	1.123070E+11	6.878107E+11	5.755037E-04	1.123070E-04	6.878107E-04	8.997863E+12	1.755894E+12	1.075376E+13	7.099800E-01
